date,MW
2018-07-02,95
2018-07-03,111
2018-07-04,87
2018-07-05,95
2018-07-06,116
2018-07-07,110
2018-07-08,92
2018-07-09,116
2018-07-10,96
2018-07-11,97
2018-07-12,107
2018-07-13,92
2018-07-14,81
2018-07-15,89
2018-07-16,100
2018-07-17,118
2018-07-18,99
2018-07-19,117
2018-07-20,110
2018-07-21,94
2018-07-22,109
2018-07-23,119
2018-07-24,91
2018-07-25,119
2018-07-26,108
2018-07-27,99
2018-07-28,109
2018-07-29,117
2018-07-30,84
2018-07-31,109
2018-08-01,82
2018-08-02,81
2018-08-03,111
2018-08-04,92
2018-08-05,109
2018-08-06,81
2018-08-07,109
2018-08-08,119
2018-08-09,111
2018-08-10,99
2018-08-11,81
2018-08-12,93
2018-08-13,94
2018-08-14,112
2018-08-15,93
2018-08-16,113
2018-08-17,92
2018-08-18,95
2018-08-19,107
2018-08-20,113
2018-08-21,90
2018-08-22,89
2018-08-23,111
2018-08-24,86
2018-08-25,104
2018-08-26,106
2018-08-27,114
2018-08-28,107
2018-08-29,113
2018-08-30,96
2018-08-31,115
2018-09-01,117
2018-09-02,89
2018-09-03,102
2018-09-04,102
2018-09-05,103
2018-09-06,104
2018-09-07,94
2018-09-08,100
2018-09-09,100
2018-09-10,89
2018-09-11,115
2018-09-12,82
2018-09-13,116
2018-09-14,119
2018-09-15,89
2018-09-16,87
2018-09-17,110
2018-09-18,100
2018-09-19,106
2018-09-20,110
2018-09-21,101
2018-09-22,115
2018-09-23,116
2018-09-24,102
2018-09-25,113
2018-09-26,96
2018-09-27,86
2018-09-28,95
2018-09-29,115
2018-09-30,81
2018-10-01,106
2018-10-02,80
2018-10-03,107
2018-10-04,88
2018-10-05,118
2018-10-06,81
2018-10-07,81
2018-10-08,86
2018-10-09,114
2018-10-10,109
2018-10-11,98
2018-10-12,82
2018-10-13,82
2018-10-14,83
2018-10-15,110
2018-10-16,106
2018-10-17,113
2018-10-18,115
2018-10-19,90
2018-10-20,98
2018-10-21,116
2018-10-22,103
2018-10-23,119
2018-10-24,115
2018-10-25,85
2018-10-26,116
2018-10-27,95
2018-10-28,112
2018-10-29,91
2018-10-30,101
2018-10-31,104
2018-11-01,83
2018-11-02,110
2018-11-03,104
2018-11-04,85
2018-11-05,86
2018-11-06,102
2018-11-07,105
2018-11-08,101
2018-11-09,96
2018-11-10,118
2018-11-11,116
2018-11-12,102
2018-11-13,97
2018-11-14,103
2018-11-15,114
2018-11-16,102
2018-11-17,92
2018-11-18,90
2018-11-19,99
2018-11-20,92
2018-11-21,82
2018-11-22,81
2018-11-23,88
2018-11-24,108
2018-11-25,102
2018-11-26,90
2018-11-27,107
2018-11-28,101
2018-11-29,95
2018-11-30,85
2018-12-01,107
2018-12-02,87
2018-12-03,101
2018-12-04,106
2018-12-05,105
2018-12-06,114
2018-12-07,81
2018-12-08,92
2018-12-09,114
2018-12-10,91
2018-12-11,90
2018-12-12,94
2018-12-13,90
2018-12-14,117
2018-12-15,116
2018-12-16,89
2018-12-17,81
2018-12-18,90
2018-12-19,87
2018-12-20,87
2018-12-21,87
2018-12-22,101
2018-12-23,82
2018-12-24,82
2018-12-25,94
2018-12-26,81
2018-12-27,98
2018-12-28,104
2018-12-29,104
2018-12-30,86
2018-12-31,87
2019-01-01,98
2019-01-02,86
2019-01-03,99
2019-01-04,86
2019-01-05,109
2019-01-06,98
2019-01-07,87
2019-01-08,119
2019-01-09,103
2019-01-10,108
2019-01-11,104
2019-01-12,118
2019-01-13,93
2019-01-14,111
2019-01-15,90
2019-01-16,107
2019-01-17,92
2019-01-18,114
2019-01-19,114
2019-01-20,116
2019-01-21,106
2019-01-22,117
2019-01-23,108
2019-01-24,115
2019-01-25,97
2019-01-26,102
2019-01-27,92
2019-01-28,88
2019-01-29,89
2019-01-30,93
2019-01-31,104
2019-02-01,91
2019-02-02,106
2019-02-03,112
2019-02-04,82
2019-02-05,101
2019-02-06,106
2019-02-07,84
2019-02-08,104
2019-02-09,113
2019-02-10,96
2019-02-11,91
2019-02-12,108
2019-02-13,93
2019-02-14,88
2019-02-15,82
2019-02-16,99
2019-02-17,83
2019-02-18,103
2019-02-19,112
2019-02-20,117
2019-02-21,103
2019-02-22,95
2019-02-23,85
2019-02-24,115
2019-02-25,104
2019-02-26,97
2019-02-27,119
2019-02-28,81
2019-03-01,118
2019-03-02,94
2019-03-03,113
2019-03-04,92
2019-03-05,119
2019-03-06,85
2019-03-07,102
2019-03-08,109
2019-03-09,103
2019-03-10,81
2019-03-11,88
2019-03-12,99
2019-03-13,110
2019-03-14,100
2019-03-15,101
2019-03-16,117
2019-03-17,82
2019-03-18,115
2019-03-19,90
2019-03-20,92
2019-03-21,113
2019-03-22,111
2019-03-23,82
2019-03-24,85
2019-03-25,83
2019-03-26,85
2019-03-27,102
2019-03-28,111
2019-03-29,95
2019-03-30,89
2019-03-31,88
2019-04-01,118
2019-04-02,107
2019-04-03,81
2019-04-04,115
2019-04-05,106
2019-04-06,94
2019-04-07,89
2019-04-08,117
2019-04-09,105
2019-04-10,114
2019-04-11,84
2019-04-12,89
2019-04-13,106
2019-04-14,83
2019-04-15,97
2019-04-16,82
2019-04-17,113
2019-04-18,106
2019-04-19,98
2019-04-20,84
2019-04-21,112
2019-04-22,111
2019-04-23,106
2019-04-24,110
2019-04-25,94
2019-04-26,103
2019-04-27,115
2019-04-28,84
2019-04-29,106
2019-04-30,118
2019-05-01,112
2019-05-02,108
2019-05-03,115
2019-05-04,91
2019-05-05,95
2019-05-06,82
2019-05-07,109
2019-05-08,115
2019-05-09,84
2019-05-10,97
2019-05-11,116
2019-05-12,113
2019-05-13,82
2019-05-14,99
2019-05-15,106
2019-05-16,110
2019-05-17,95
2019-05-18,92
2019-05-19,111
2019-05-20,82
2019-05-21,119
2019-05-22,87
2019-05-23,114
2019-05-24,109
2019-05-25,103
2019-05-26,100
2019-05-27,100
2019-05-28,99
2019-05-29,109
2019-05-30,93
2019-05-31,95
2019-06-01,110
2019-06-02,86
2019-06-03,107
2019-06-04,95
2019-06-05,107
2019-06-06,90
2019-06-07,111
2019-06-08,93
2019-06-09,106
2019-06-10,86
2019-06-11,90
2019-06-12,105
2019-06-13,109
2019-06-14,88
2019-06-15,120
2019-06-16,111
2019-06-17,104
2019-06-18,85
2019-06-19,111
2019-06-20,111
2019-06-21,89
2019-06-22,99
2019-06-23,103
2019-06-24,86
2019-06-25,92
2019-06-26,118
2019-06-27,114
2019-06-28,104
2019-06-29,96
2019-06-30,91
2019-07-01,95
2019-07-02,112
2019-07-03,106
2019-07-04,96
2019-07-05,90
2019-07-06,117
2019-07-07,107
2019-07-08,114
2019-07-09,104
2019-07-10,81
2019-07-11,107
2019-07-12,102
2019-07-13,85
2019-07-14,119
2019-07-15,94
2019-07-16,94
2019-07-17,106
2019-07-18,91
2019-07-19,102
2019-07-20,89
2019-07-21,85
2019-07-22,86
2019-07-23,92
2019-07-24,89
2019-07-25,100
2019-07-26,84
2019-07-27,96
2019-07-28,89
2019-07-29,91
2019-07-30,91
2019-07-31,109
2019-08-01,90
2019-08-02,85
2019-08-03,108
2019-08-04,85
2019-08-05,98
2019-08-06,114
2019-08-07,90
2019-08-08,112
2019-08-09,107
2019-08-10,91
2019-08-11,83
2019-08-12,106
2019-08-13,95
2019-08-14,106
2019-08-15,87
2019-08-16,91
2019-08-17,116
2019-08-18,107
2019-08-19,82
2019-08-20,104
2019-08-21,110
2019-08-22,110
2019-08-23,109
2019-08-24,98
2019-08-25,105
2019-08-26,85
2019-08-27,85
2019-08-28,105
2019-08-29,119
2019-08-30,82
2019-08-31,87
2019-09-01,88
2019-09-02,86
2019-09-03,107
2019-09-04,101
2019-09-05,116
2019-09-06,105
2019-09-07,110
2019-09-08,86
2019-09-09,98
2019-09-10,111
2019-09-11,109
2019-09-12,96
2019-09-13,94
2019-09-14,99
2019-09-15,103
2019-09-16,95
2019-09-17,106
2019-09-18,94
2019-09-19,89
2019-09-20,106
2019-09-21,82
2019-09-22,98
2019-09-23,103
2019-09-24,103
2019-09-25,104
2019-09-26,85
2019-09-27,98
2019-09-28,102
2019-09-29,117
2019-09-30,106
2019-10-01,96
2019-10-02,84
2019-10-03,115
2019-10-04,112
2019-10-05,102
2019-10-06,119
2019-10-07,97
2019-10-08,101
2019-10-09,104
2019-10-10,95
2019-10-11,92
2019-10-12,101
2019-10-13,109
2019-10-14,92
2019-10-15,95
2019-10-16,103
2019-10-17,89
2019-10-18,83
2019-10-19,100
2019-10-20,92
2019-10-21,104
2019-10-22,109
2019-10-23,107
2019-10-24,104
2019-10-25,83
2019-10-26,104
2019-10-27,111
2019-10-28,97
2019-10-29,90
2019-10-30,112
2019-10-31,87
2019-11-01,117
2019-11-02,92
2019-11-03,96
2019-11-04,119
2019-11-05,119
2019-11-06,118
2019-11-07,115
2019-11-08,96
2019-11-09,91
2019-11-10,102
2019-11-11,119
2019-11-12,90
2019-11-13,85
2019-11-14,84
2019-11-15,103
2019-11-16,105
2019-11-17,88
2019-11-18,100
2019-11-19,119
2019-11-20,107
2019-11-21,117
2019-11-22,106
2019-11-23,108
2019-11-24,100
2019-11-25,93
2019-11-26,102
2019-11-27,90
2019-11-28,116
2019-11-29,114
2019-11-30,104
2019-12-01,90
2019-12-02,107
2019-12-03,90
2019-12-04,105
2019-12-05,99
2019-12-06,94
2019-12-07,109
2019-12-08,115
2019-12-09,85
2019-12-10,80
2019-12-11,95
2019-12-12,100
2019-12-13,113
2019-12-14,109
2019-12-15,89
2019-12-16,82
2019-12-17,117
2019-12-18,84
2019-12-19,92
2019-12-20,84
2019-12-21,83
2019-12-22,82
2019-12-23,106
2019-12-24,108
2019-12-25,95
2019-12-26,115
2019-12-27,110
2019-12-28,87
2019-12-29,87
2019-12-30,93
2019-12-31,85
2020-01-01,104
2020-01-02,101
2020-01-03,102
2020-01-04,83
2020-01-05,119
2020-01-06,112
2020-01-07,111
2020-01-08,105
2020-01-09,86
2020-01-10,108
2020-01-11,82
2020-01-12,100
2020-01-13,86
2020-01-14,98
2020-01-15,105
2020-01-16,98
2020-01-17,107
2020-01-18,87
2020-01-19,99
2020-01-20,103
2020-01-21,118
2020-01-22,117
2020-01-23,83
2020-01-24,115
2020-01-25,84
2020-01-26,90
2020-01-27,83
2020-01-28,117
2020-01-29,95
2020-01-30,94
2020-01-31,104
2020-02-01,102
2020-02-02,114
2020-02-03,85
2020-02-04,87
2020-02-05,111
2020-02-06,104
2020-02-07,108
2020-02-08,90
2020-02-09,82
2020-02-10,80
2020-02-11,95
2020-02-12,102
2020-02-13,93
2020-02-14,90
2020-02-15,112
2020-02-16,107
2020-02-17,91
2020-02-18,87
2020-02-19,92
2020-02-20,85
2020-02-21,109
2020-02-22,116
2020-02-23,119
2020-02-24,101
2020-02-25,101
2020-02-26,118
2020-02-27,102
2020-02-28,82
2020-02-29,103
2020-03-01,94
2020-03-02,97
2020-03-03,109
2020-03-04,115
2020-03-05,104
2020-03-06,98
2020-03-07,98
2020-03-08,86
2020-03-09,119
2020-03-10,112
2020-03-11,89
2020-03-12,85
2020-03-13,113
2020-03-14,83
2020-03-15,100
2020-03-16,114
2020-03-17,114
2020-03-18,86
2020-03-19,114
2020-03-20,100
2020-03-21,90
2020-03-22,114
2020-03-23,104
2020-03-24,91
2020-03-25,96
2020-03-26,106
2020-03-27,91
2020-03-28,116
2020-03-29,118
2020-03-30,94
2020-03-31,99
2020-04-01,94
2020-04-02,102
2020-04-03,116
2020-04-04,85
2020-04-05,88
2020-04-06,97
2020-04-07,113
2020-04-08,97
2020-04-09,105
2020-04-10,83
2020-04-11,118
2020-04-12,105
2020-04-13,118
2020-04-14,106
2020-04-15,108
2020-04-16,102
2020-04-17,89
2020-04-18,84
2020-04-19,100
2020-04-20,101
2020-04-21,118
2020-04-22,88
2020-04-23,113
2020-04-24,89
2020-04-25,88
2020-04-26,85
2020-04-27,87
2020-04-28,100
2020-04-29,106
2020-04-30,119
2020-05-01,85
2020-05-02,90
2020-05-03,111
2020-05-04,119
2020-05-05,88
2020-05-06,118
2020-05-07,101
2020-05-08,104
2020-05-09,107
2020-05-10,89
2020-05-11,113
2020-05-12,86
2020-05-13,120
2020-05-14,96
2020-05-15,85
2020-05-16,81
2020-05-17,93
2020-05-18,109
2020-05-19,94
2020-05-20,100
2020-05-21,88
2020-05-22,110
2020-05-23,116
2020-05-24,114
2020-05-25,96
2020-05-26,97
2020-05-27,82
2020-05-28,90
2020-05-29,92
2020-05-30,113
2020-05-31,93
2020-06-01,106
2020-06-02,112
2020-06-03,98
2020-06-04,120
2020-06-05,93
2020-06-06,84
2020-06-07,118
2020-06-08,110
2020-06-09,119
2020-06-10,99
2020-06-11,103
2020-06-12,99
2020-06-13,109
2020-06-14,108
2020-06-15,112
2020-06-16,84
2020-06-17,119
2020-06-18,91
2020-06-19,109
2020-06-20,118
2020-06-21,96
2020-06-22,103
2020-06-23,117
2020-06-24,83
2020-06-25,80
2020-06-26,105
2020-06-27,110
2020-06-28,107
2020-06-29,100
2020-06-30,90
2020-07-01,111
2020-07-02,117
2020-07-03,85
2020-07-04,95
2020-07-05,87
2020-07-06,105
2020-07-07,82
2020-07-08,119
2020-07-09,104
2020-07-10,114
2020-07-11,83
2020-07-12,107
2020-07-13,89
2020-07-14,82
2020-07-15,96
2020-07-16,101
2020-07-17,106
2020-07-18,87
2020-07-19,118
2020-07-20,83
2020-07-21,109
2020-07-22,87
2020-07-23,117
2020-07-24,107
2020-07-25,82
2020-07-26,86
2020-07-27,100
2020-07-28,101
2020-07-29,101
2020-07-30,119
2020-07-31,107
2020-08-01,110
2020-08-02,87
2020-08-03,109
2020-08-04,83
2020-08-05,93
2020-08-06,101
2020-08-07,106
2020-08-08,105
2020-08-09,92
2020-08-10,102
2020-08-11,119
2020-08-12,115
2020-08-13,117
2020-08-14,105
2020-08-15,99
2020-08-16,85
2020-08-17,107
2020-08-18,86
2020-08-19,114
2020-08-20,87
2020-08-21,109
2020-08-22,107
2020-08-23,107
2020-08-24,102
2020-08-25,107
2020-08-26,118
2020-08-27,93
2020-08-28,103
2020-08-29,118
2020-08-30,100
2020-08-31,110
2020-09-01,118
2020-09-02,87
2020-09-03,105
2020-09-04,108
2020-09-05,107
2020-09-06,101
2020-09-07,102
2020-09-08,98
2020-09-09,98
2020-09-10,86
2020-09-11,107
2020-09-12,116
2020-09-13,90
2020-09-14,91
2020-09-15,117
2020-09-16,97
2020-09-17,85
2020-09-18,110
2020-09-19,84
2020-09-20,88
2020-09-21,82
2020-09-22,103
2020-09-23,93
2020-09-24,95
2020-09-25,114
2020-09-26,85
2020-09-27,105
2020-09-28,95
2020-09-29,88
2020-09-30,113
2020-10-01,91
2020-10-02,112
2020-10-03,92
2020-10-04,89
2020-10-05,103
2020-10-06,110
2020-10-07,98
2020-10-08,119
2020-10-09,92
2020-10-10,97
2020-10-11,81
2020-10-12,110
2020-10-13,116
2020-10-14,102
2020-10-15,107
2020-10-16,109
2020-10-17,84
2020-10-18,89
2020-10-19,105
2020-10-20,90
2020-10-21,117
2020-10-22,97
2020-10-23,107
2020-10-24,95
2020-10-25,115
2020-10-26,111
2020-10-27,109
2020-10-28,84
2020-10-29,97
2020-10-30,83
2020-10-31,106
2020-11-01,87
2020-11-02,118
2020-11-03,104
2020-11-04,119
2020-11-05,92
2020-11-06,119
2020-11-07,98
2020-11-08,87
2020-11-09,100
2020-11-10,108
2020-11-11,108
2020-11-12,93
2020-11-13,116
2020-11-14,99
2020-11-15,112
2020-11-16,91
2020-11-17,95
2020-11-18,82
2020-11-19,89
2020-11-20,115
2020-11-21,112
2020-11-22,120
2020-11-23,108
2020-11-24,94
2020-11-25,91
2020-11-26,94
2020-11-27,103
2020-11-28,117
2020-11-29,109
2020-11-30,80
2020-12-01,94
2020-12-02,117
2020-12-03,110
2020-12-04,115
2020-12-05,91
2020-12-06,106
2020-12-07,99
2020-12-08,107
2020-12-09,83
2020-12-10,89
2020-12-11,96
2020-12-12,90
2020-12-13,85
2020-12-14,116
2020-12-15,105
2020-12-16,91
2020-12-17,102
2020-12-18,109
2020-12-19,105
2020-12-20,95
2020-12-21,119
2020-12-22,109
2020-12-23,97
2020-12-24,111
2020-12-25,95
2020-12-26,113
2020-12-27,89
2020-12-28,92
2020-12-29,95
2020-12-30,113
2020-12-31,112
2021-01-01,99
2021-01-02,89
2021-01-03,115
2021-01-04,87
2021-01-05,101
2021-01-06,93
2021-01-07,101
2021-01-08,88
2021-01-09,96
2021-01-10,101
2021-01-11,84
2021-01-12,115
2021-01-13,91
2021-01-14,91
2021-01-15,116
2021-01-16,116
2021-01-17,120
2021-01-18,104
2021-01-19,94
2021-01-20,110
2021-01-21,86
2021-01-22,105
2021-01-23,88
2021-01-24,95
2021-01-25,89
2021-01-26,111
2021-01-27,92
2021-01-28,88
2021-01-29,84
2021-01-30,88
2021-01-31,80
2021-02-01,84
2021-02-02,99
2021-02-03,106
2021-02-04,116
2021-02-05,94
2021-02-06,106
2021-02-07,115
2021-02-08,103
2021-02-09,84
2021-02-10,117
2021-02-11,120
2021-02-12,117
2021-02-13,103
2021-02-14,101
2021-02-15,110
2021-02-16,102
2021-02-17,92
2021-02-18,109
2021-02-19,117
2021-02-20,96
2021-02-21,108
2021-02-22,89
2021-02-23,91
2021-02-24,116
2021-02-25,83
2021-02-26,119
2021-02-27,85
2021-02-28,120
2021-03-01,106
2021-03-02,114
2021-03-03,109
2021-03-04,103
2021-03-05,103
2021-03-06,100
2021-03-07,120
2021-03-08,117
2021-03-09,86
2021-03-10,101
2021-03-11,117
2021-03-12,91
2021-03-13,115
2021-03-14,103
2021-03-15,110
2021-03-16,81
2021-03-17,108
2021-03-18,113
2021-03-19,100
2021-03-20,97
2021-03-21,95
2021-03-22,107
2021-03-23,82
2021-03-24,86
2021-03-25,114
2021-03-26,83
2021-03-27,115
2021-03-28,98
2021-03-29,95
2021-03-30,84
2021-03-31,84
2021-04-01,100
2021-04-02,102
2021-04-03,119
2021-04-04,91
2021-04-05,90
2021-04-06,87
2021-04-07,98
2021-04-08,90
2021-04-09,91
2021-04-10,118
2021-04-11,112
2021-04-12,99
2021-04-13,106
2021-04-14,80
2021-04-15,117
2021-04-16,100
2021-04-17,100
2021-04-18,118
2021-04-19,96
2021-04-20,97
2021-04-21,112
2021-04-22,116
2021-04-23,112
2021-04-24,116
2021-04-25,114
2021-04-26,107
2021-04-27,83
2021-04-28,103
2021-04-29,99
2021-04-30,114
2021-05-01,114
2021-05-02,82
2021-05-03,92
2021-05-04,85
2021-05-05,109
2021-05-06,85
2021-05-07,98
2021-05-08,117
2021-05-09,99
2021-05-10,84
2021-05-11,112
2021-05-12,112
2021-05-13,91
2021-05-14,114
2021-05-15,110
2021-05-16,89
2021-05-17,112
2021-05-18,117
2021-05-19,86
2021-05-20,113
2021-05-21,86
2021-05-22,81
2021-05-23,114
2021-05-24,98
2021-05-25,104
2021-05-26,106
2021-05-27,115
2021-05-28,106
2021-05-29,84
2021-05-30,114
2021-05-31,113
2021-06-01,102
2021-06-02,110
2021-06-03,83
2021-06-04,108
2021-06-05,109
2021-06-06,115
2021-06-07,86
2021-06-08,108
2021-06-09,107
2021-06-10,108
2021-06-11,99
2021-06-12,102
2021-06-13,106
2021-06-14,104
2021-06-15,93
2021-06-16,110
2021-06-17,112
2021-06-18,91
2021-06-19,109
2021-06-20,113
2021-06-21,84
2021-06-22,92
2021-06-23,88
2021-06-24,120
2021-06-25,102
2021-06-26,85
2021-06-27,81
2021-06-28,104
2021-06-29,105
2021-06-30,116
2021-07-01,113
2021-07-02,97
2021-07-03,105
2021-07-04,108
2021-07-05,94
2021-07-06,110
2021-07-07,108
2021-07-08,104
2021-07-09,117
2021-07-10,90
2021-07-11,95
2021-07-12,119
2021-07-13,96
2021-07-14,80
2021-07-15,117
2021-07-16,118
2021-07-17,85
2021-07-18,114
2021-07-19,81
2021-07-20,102
2021-07-21,117
2021-07-22,87
2021-07-23,90
2021-07-24,116
2021-07-25,107
2021-07-26,98
2021-07-27,111
2021-07-28,91
2021-07-29,94
2021-07-30,120
2021-07-31,96
2021-08-01,90
2021-08-02,81
2021-08-03,116
2021-08-04,81
2021-08-05,114
2021-08-06,87
2021-08-07,116
2021-08-08,110
2021-08-09,81
2021-08-10,96
2021-08-11,81
2021-08-12,80
2021-08-13,93
2021-08-14,104
2021-08-15,114
2021-08-16,106
2021-08-17,112
2021-08-18,82
2021-08-19,107
2021-08-20,85
2021-08-21,106
2021-08-22,109
2021-08-23,86
2021-08-24,109
2021-08-25,99
2021-08-26,90
2021-08-27,103
2021-08-28,117
2021-08-29,116
2021-08-30,98
2021-08-31,81
2021-09-01,96
2021-09-02,114
2021-09-03,92
2021-09-04,113
2021-09-05,114
2021-09-06,80
2021-09-07,92
2021-09-08,114
2021-09-09,89
2021-09-10,93
2021-09-11,118
2021-09-12,119
2021-09-13,94
2021-09-14,110
2021-09-15,100
2021-09-16,95
2021-09-17,104
2021-09-18,87
2021-09-19,106
2021-09-20,112
2021-09-21,115
2021-09-22,115
2021-09-23,118
2021-09-24,110
2021-09-25,97
2021-09-26,101
2021-09-27,87
2021-09-28,93
2021-09-29,109
2021-09-30,92
2021-10-01,107
2021-10-02,105
2021-10-03,109
2021-10-04,100
2021-10-05,88
2021-10-06,92
2021-10-07,107
2021-10-08,92
2021-10-09,89
2021-10-10,84
2021-10-11,97
2021-10-12,105
2021-10-13,111
2021-10-14,85
2021-10-15,94
2021-10-16,100
2021-10-17,109
2021-10-18,112
2021-10-19,88
2021-10-20,89
2021-10-21,112
2021-10-22,88
2021-10-23,107
2021-10-24,93
2021-10-25,103
2021-10-26,87
2021-10-27,113
2021-10-28,102
2021-10-29,94
2021-10-30,94
2021-10-31,110
2021-11-01,100
2021-11-02,84
2021-11-03,107
2021-11-04,98
2021-11-05,105
2021-11-06,119
2021-11-07,104
2021-11-08,108
2021-11-09,117
2021-11-10,87
2021-11-11,88
2021-11-12,119
2021-11-13,112
2021-11-14,90
2021-11-15,104
2021-11-16,84
2021-11-17,104
2021-11-18,82
2021-11-19,96
2021-11-20,107
2021-11-21,88
2021-11-22,102
2021-11-23,90
2021-11-24,114
2021-11-25,98
2021-11-26,84
2021-11-27,82
2021-11-28,97
2021-11-29,111
2021-11-30,119
2021-12-01,119
2021-12-02,106
2021-12-03,85
2021-12-04,113
2021-12-05,89
2021-12-06,112
2021-12-07,120
2021-12-08,84
2021-12-09,97
2021-12-10,91
2021-12-11,107
2021-12-12,83
2021-12-13,105
2021-12-14,100
2021-12-15,113
2021-12-16,93
2021-12-17,89
2021-12-18,118
2021-12-19,116
2021-12-20,87
2021-12-21,82
2021-12-22,119
2021-12-23,115
2021-12-24,109
2021-12-25,92
2021-12-26,115
2021-12-27,88
2021-12-28,89
2021-12-29,105
2021-12-30,119
2021-12-31,109
2022-01-01,115
2022-01-02,102
2022-01-03,107
2022-01-04,85
2022-01-05,82
2022-01-06,93
2022-01-07,85
2022-01-08,118
2022-01-09,115
2022-01-10,101
2022-01-11,94
2022-01-12,105
2022-01-13,94
2022-01-14,112
2022-01-15,112
2022-01-16,117
2022-01-17,94
2022-01-18,94
2022-01-19,84
2022-01-20,104
2022-01-21,114
2022-01-22,87
2022-01-23,106
2022-01-24,97
2022-01-25,95
2022-01-26,117
2022-01-27,92
2022-01-28,107
2022-01-29,104
2022-01-30,93
2022-01-31,85
2022-02-01,88
2022-02-02,93
2022-02-03,105
2022-02-04,117
2022-02-05,100
2022-02-06,95
2022-02-07,114
2022-02-08,92
2022-02-09,80
2022-02-10,112
2022-02-11,102
2022-02-12,85
2022-02-13,96
2022-02-14,101
2022-02-15,111
2022-02-16,113
2022-02-17,106
2022-02-18,93
2022-02-19,98
2022-02-20,112
2022-02-21,86
2022-02-22,117
2022-02-23,119
2022-02-24,103
2022-02-25,108
2022-02-26,88
2022-02-27,91
2022-02-28,97
2022-03-01,102
2022-03-02,97
2022-03-03,111
2022-03-04,95
2022-03-05,92
2022-03-06,92
2022-03-07,108
2022-03-08,91
2022-03-09,105
2022-03-10,82
2022-03-11,101
2022-03-12,90
2022-03-13,88
2022-03-14,107
2022-03-15,81
2022-03-16,98
2022-03-17,102
2022-03-18,102
2022-03-19,118
2022-03-20,112
2022-03-21,84
2022-03-22,93
2022-03-23,88
2022-03-24,87
2022-03-25,86
2022-03-26,118
2022-03-27,87
2022-03-28,108
2022-03-29,106
2022-03-30,87
2022-03-31,98
2022-04-01,117
2022-04-02,105
2022-04-03,97
